source,target,status,reason
/madagaskar-hunter,/kvesty-v-rostove-na-donu,301,Retired Madagascar quest has no matching migrated page; send visitors to the catalog.
/page17602693.html,/kvest_v_realnosti_garri_potter_,301,KvestHunter alias for the matching Harry Potter quest.
/garri-hunter,/kvest_v_realnosti_garri_potter_,301,KvestHunter alias for the matching Harry Potter quest.
/page17602725.html,/pirati,301,KvestHunter alias for the matching Pirates quest.
/pirate-hunter,/pirati,301,KvestHunter alias for the matching Pirates quest.
/page17602753.html,/ono,301,KvestHunter alias for the matching IT quest.
/ono-hunter,/ono,301,KvestHunter alias for the matching IT quest.
/page17602790.html,/kvest_v_realnosti_zamok_drakuly,301,KvestHunter alias for the matching Dracula Castle quest.
/zamok-hunter,/kvest_v_realnosti_zamok_drakuly,301,KvestHunter alias for the matching Dracula Castle quest.
/page17602829.html,/kvesty-v-rostove-na-donu,301,Retired Annabelle quest has no matching migrated page; send visitors to the catalog.
/annabel-hunter,/kvesty-v-rostove-na-donu,301,Retired Annabelle quest has no matching migrated page; send visitors to the catalog.
/page17602893.html,/kvest_v_realnosti_dom_prizrakov,301,KvestHunter alias for the matching Ghost House quest.
/prizrak-hunter,/kvest_v_realnosti_dom_prizrakov,301,KvestHunter alias for the matching Ghost House quest.
/page17602934.html,/kvest_v_realnosti_noch_v_museum_ograblenie,301,KvestHunter alias for the matching Night at the Museum quest.
/noch-hunter,/kvest_v_realnosti_noch_v_museum_ograblenie,301,KvestHunter alias for the matching Night at the Museum quest.
/page17602969.html,/kvest_v_realnosti_harry_potter_i_krestrazh,301,KvestHunter alias for the matching Harry Potter Horcrux quest.
/krestrazh-hunter,/kvest_v_realnosti_harry_potter_i_krestrazh,301,KvestHunter alias for the matching Harry Potter Horcrux quest.
/page10719803.html,/,301,Legacy numeric alias for the homepage.
/page41891214.html,/prazdniki-pod-kluch,301,Legacy numeric alias for the published turnkey party landing.
/prazdniki-pod-kluch,/prazdniki-pod-kluch,200,Captured turnkey party landing is published at its canonical path.
/page59359589.html,/new-year,301,Legacy numeric alias for the current New Year landing.
/new-year-2025,/new-year,301 + fallback,Retired seasonal landing redirects to the current New Year campaign.
/wednesday_ukradennaya_vesch,/wednesday-poteryannaya-dusha,301 + fallback,Tilda captures are duplicate; consolidate on the retained Wednesday page.
